"Department for Education  DATA COLLECTION
Year 2011-12
Table B",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LA No.,,,381,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LA Name,,,Calderdale,,,,,,,,,,,,,,,,,,
Phase,School Name,DfE Reference Number,"Opening Pupil Focused Revenue Balance [OB01]
(2010-11 B01 & B02 carried forward) ",,"Opening Community Focused  School Revenue Balance [OB02]
(2010-11 B06 carried forward) ",,,,Planned Budget Share,Delegated Funds (Including YPLA funding) [I01 & I02],,SEN Funding  [I03] and Minority Ethnic Pupils [I04],Pupil Premium [I05],Other Government Grants [I06],Income generated by schools (excluding community focused income) [I07 to I13],Pupil focused extended school funding and/or grants [I15],Community focused school funding and/or grants [I16],Community focused  school facilities income [I17],Total resources available to school (sum of 3 + 4 + (6 to 13)),"School Expenditure (does not include community focused expenditure, CERA or income) [E01 to E29] ",Community focused school expenditure (does not include income) [E31 & E32] ,Capital Expenditure from Revenue - CERA [E30],Committed Revenue Balance [B01]  ,Uncommitted Revenue Balance [B02],Community Focused School Revenue Balance [B06]
,Ripponden Junior and Infant School,2061,"-19,516",,0,,,,"656,209","650,551",,"37,591","4,392",0,"102,450",0,0,0,"775,468","785,749",0,0,"-10,281",0,0
,Bolton Brow Junior Infant and Nursery School,2063,"43,680",,0,,,,"789,318","314,251",,"25,076","6,988",325,"21,038",0,0,0,"411,357","381,666",0,0,"29,691",0,0
,Luddendenfoot Junior and Infant School,2064,"104,412",,0,,,,"495,709","316,298",,"32,837","5,856","16,790","24,592",0,0,0,"500,785","347,668",0,"75,122","77,995",0,0
,Midgley School,2065,"31,925",,0,,,,"392,831","389,329",,"15,538",488,0,"61,683",0,0,0,"498,963","458,888",0,0,"40,076",0,0
,New Road Primary School,2066,"11,743",,0,,,,"354,189","339,534",,"39,618","17,080",0,"35,240",0,0,0,"443,216","433,207",0,0,"10,009",0,0
,Tuel Lane Infant School,2067,"-32,980",,0,,,,"522,516","519,653",,"20,502","15,816",0,"22,032",0,0,0,"545,022","544,936",0,0,86,0,0
,Castle Hill Primary School,2068,"26,331",,0,,,,"855,578","831,804",,"56,506","14,152",500,"99,426",0,0,0,"1,028,718","996,040",0,0,"32,679",0,0
,"Cornholme Junior, Infant and Nursery School",2069,"45,232",,0,,,,"744,548","687,620",,"73,193","24,400",0,"75,764",593,0,0,"906,802","848,880",0,"4,000","53,922",0,0
,Shade Primary School,2073,"27,783",,0,,,,"646,883","675,715",,"10,923","11,336",0,"80,690",0,0,0,"806,446","763,521",0,0,"42,925",0,0
,Old Town Primary School,2075,"25,836",,970,,,,"412,096","383,157",,"42,942","2,928",0,"24,503",0,0,"14,480","494,815","450,259","15,449",0,"29,106",0,0
,Cliffe Hill Community Primary School,2076,"49,097",,0,,,,"629,489","548,138",,"170,270","24,888",0,"32,857",0,0,0,"825,249","804,590",0,0,"20,659",0,0
,Field Lane Primary School,2079,"50,986",,0,,,,"715,209","699,665",,"84,476","25,376","3,612","27,762",0,0,0,"891,877","829,792",0,0,"62,085",0,0
,Woodhouse Primary School,2081,"88,701",,0,,,,"1,188,247","1,178,024",,"59,737","4,717",0,"88,785",0,0,0,"1,419,964","1,270,730",0,"12,173","137,061",0,0
,Riverside Junior School,2082,"31,658",,0,,,,"615,658","595,629",,"64,329","5,856",320,"146,632",0,0,0,"844,425","842,254",0,0,"2,171",0,0
,Old Earth Primary School,2083,"76,158",,878,,,,"1,275,906","519,983",,"38,550","4,300","1,576","40,336",0,0,"83,888","765,670","583,013","83,318","48,534",0,"49,358","1,449"
,Castlefields Infant School,2084,"65,163",,0,,,,"658,186","593,792",,"94,296","16,592",0,"30,193",0,"91,473","62,544","954,052","731,931","170,523","10,775","57,329",0,"-16,506"
,Mount Pellon Junior and Infant School,2086,"140,697",,0,,,,"2,659,591","2,100,918",,"740,281","71,736","27,054","93,326",0,0,0,"3,174,012","3,037,330",0,0,"136,682",0,0
,Cross Lane Primary and Nursery School,2087,"165,462",,0,,,,"1,096,725","1,049,718",,"118,068","28,304",0,"65,541",0,0,0,"1,427,093","1,275,428",0,"5,500","146,165",0,0
,Ash Green Primary School,2093,"383,491",,"34,499",,,,"1,913,086","1,608,921",,"341,648","92,432","29,289","161,362",0,"328,687","175,991","3,156,320","2,036,489","495,255","437,577","143,077",0,"43,922"
,Siddal Primary School,2094,"57,076",,"1,298",,,,"924,264","893,135",,"61,273","32,696","15,104","124,856",0,"179,290","130,513","1,495,242","1,113,376","305,705",0,"70,764",0,"5,397"
,Sowerby Village CEVC Primary School,2095,"28,468",,0,,,,"678,037","683,377",,"47,454","23,424",572,"17,869",0,0,0,"801,163","766,197",0,0,"34,967",0,0
,Christ Church Pellon CofE VC Primary School,3001,"16,960",,"-1,313",,,,"710,717","681,716",,"82,118","28,304","15,524","49,761",0,0,0,"873,069","837,848",0,0,"36,534",0,"-1,313"
,Norland CofE Junior and Infant School,3010,"17,002",,0,,,,"323,686","314,737",,"15,137","2,440",0,"23,503",0,0,0,"372,818","372,408",0,0,410,0,0
,St Mary's CofE (VC) J&I School,3011,"33,109",,0,,,,"331,666","336,081",,"2,223","1,952",0,"32,521",0,0,0,"405,887","409,933",0,0,"-4,046",0,0
,Triangle CofE VC Primary School,3013,"36,864",,"18,231",,,,"575,614","555,010",,"40,328","5,042",0,"72,969",0,0,0,"728,443","643,212","15,436",0,"67,000",0,"2,795"
,Luddenden Dene CofE (VC) Junior Infant and Nursery School,3014,"68,808",,0,,,,"648,802","637,260",,"58,408","13,664",0,"68,730",0,0,0,"846,870","791,173",0,0,"55,697",0,0
,St Augustine's CofE VA Junior and Infant School,3303,"52,314",,0,,,,"869,550","666,956",,"224,798","20,008","17,218","60,040",0,0,0,"1,041,334","948,410",0,0,"92,924",0,0
,St Joseph's Catholic Primary School,3305,"40,157",,0,,,,"732,866","684,936",,"70,587","12,200","21,917","92,391",0,0,0,"922,188","864,373",0,"2,480","55,334",0,0
,St Malachy's Catholic Primary School,3306,"54,008",,0,,,,"761,366","711,976",,"111,473","28,792","15,094","21,054",0,0,0,"942,396","852,185",0,"2,597","87,614",0,0
,St Mary's Catholic Primary School,3308,"65,083",,0,,,,"1,128,505","1,007,395",,"186,337","17,080","14,695","58,183",0,0,0,"1,348,773","1,254,270",0,0,"94,503",0,0
,St Andrew's C of E (VA) Junior School,3314,"47,213",,0,,,,"833,319","739,148",,"118,103","12,851","30,760","64,121",0,0,0,"1,012,196","951,119",0,"1,165","59,911",0,0
,St Andrew's Church of England (VA) Infant School,3315,"28,358",,0,,,,"574,267","593,849",,"18,003","17,568",0,"41,157",0,0,0,"698,935","637,907",0,0,0,"61,028",0
,Elland CofE Junior and Infant School,3318,"58,784",,0,,,,"726,757","686,586",,"86,479","36,712","4,582","43,755",0,0,0,"916,897","839,610",0,"30,724","46,564",0,0
,Hebden Royd CofE VA Primary School,3319,"37,607",,"6,318",,,,"549,202","508,592",,"56,450","4,880",0,"47,524",0,0,0,"661,371","584,248",0,"29,260","41,546",0,"6,318"
,Barkisland CofE VA Primary School,3321,"28,928",,191,,,,"575,450","562,757",,"37,315","1,464","19,485","55,149",0,"2,000","35,694","742,983","646,996","35,628","44,975","13,127",0,"2,257"
,"St John's CofE VA Primary School, Rishworth",3322,"63,531",,0,,,,"441,999","457,376",,"5,552","2,928",457,"52,158",0,0,0,"582,002","533,232",0,0,"48,770",0,0
,"Christ Church CofE VA Junior School, Sowerby Bridge",3323,"45,180",,0,,,,"463,734","437,095",,"46,957","13,176","1,093","49,824",0,0,0,"593,325","542,805",0,"21,034","29,486",0,0
,Todmorden CofE Junior and Infant School,3326,"19,034",,97,,,,"662,611","626,728",,"50,885","20,984",0,"119,900",0,0,0,"837,629","801,368",97,888,"35,275",0,0
,St Patrick's Catholic Primary School,3327,"-7,145",,"15,291",,,,"433,019","414,064",,"31,753","11,224",0,"35,330",0,"36,996","11,852","549,364","475,733","44,745",0,"9,492",0,"19,394"
,"Sacred Heart Catholic Primary School, Sowerby Bridge",3328,"25,596",,0,,,,"484,075","490,498",,"22,320","16,667",572,"27,952",0,0,0,"583,604","570,452",0,500,"12,653",0,0
,"St Joseph's Catholic Primary School, Brighouse",3329,"95,573",,0,,,,"782,719","757,970",,"80,191","4,792",0,"81,445",0,0,0,"1,019,970","938,725",0,"7,000","74,245",0,0
,"St Joseph's RC Primary School, Todmorden",3330,"30,828",,0,,,,"443,330","427,890",,"36,144","9,760",0,"60,245",0,0,0,"564,866","564,198",0,0,668,0,0
,Halifax Holy Trinity CofE (VA) Primary School,3331,"530,532",,0,,,,"1,744,026","1,395,229",,"424,207","30,744","31,656","116,070",0,0,"15,367","2,543,804","2,071,385","18,165","170,493","286,559",0,"-2,798"
