"Table 2: Early estimates of proven re-offending rates for Prolific and other Priority Offenders, by upper-tier local authority1: 2009-2010",,,,,
,,,,,
,Jan 2009 to Dec 2009,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,10,17,18,12,11
Number of offenders in cohort,19,19,18,17,15
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Buckinghamshire,,,,,
Proportion of offenders who re-offend (%),20.5,48.5,56.7,47.5,38.7
Average number of re-offences per re-offender,*,1.88,1.88,2.21,2.33
Average number of re-offences per offender,*,0.91,1.07,1.05,0.90
Number of re-offences,13,30,32,62,56
Number of offenders in cohort,44,33,30,59,62
Average number of previous offences per offender,53.3,56.2,60.8,54.1,54.5
,,,,,
Bury,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,64,52,34,21,37
Number of offenders in cohort,28,27,24,20,21
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Caerphilly,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,23,28,33,44,35
Number of offenders in cohort,17,16,20,21,21
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Calderdale,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,15,23,16,8,10
Number of offenders in cohort,25,26,25,23,19
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Cambridgeshire,,,,,
Proportion of offenders who re-offend (%),33.3,38.8,41.2,33.3,46.5
Average number of re-offences per re-offender,2.95,2.74,2.10,2.07,2.90
Average number of re-offences per offender,0.98,1.06,0.86,0.69,1.35
Number of re-offences,56,52,44,31,58
Number of offenders in cohort,57,49,51,45,43
Average number of previous offences per offender,44.6,41.4,43.4,43.2,44.6
,,,,,
Camden,,,,,
Proportion of offenders who re-offend (%),25.5,25.6,37.1,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,21,16,20,19,21
Number of offenders in cohort,47,39,35,25,22
Average number of previous offences per offender,35.8,32.4,31.7,*,*
,,,,,
Cardiff,,,,,
Proportion of offenders who re-offend (%),36.1,34.1,36.6,39.2,35.6
Average number of re-offences per re-offender,2.59,1.89,2.13,2.42,2.53
Average number of re-offences per offender,0.93,0.65,0.78,0.95,0.90
Number of re-offences,57,53,64,92,81
Number of offenders in cohort,61,82,82,97,90
Average number of previous offences per offender,53.3,63.8,63.7,63.4,59.9
,,,,,
Carmarthenshire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,29,53,57,40,62
Number of offenders in cohort,21,23,25,26,25
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Central Bedfordshire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,38,16,12,10,11
Number of offenders in cohort,24,19,20,16,10
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Ceredigion,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,20,19,25,8,10
Number of offenders in cohort,12,15,15,17,18
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Cheshire East,,,,,
Proportion of offenders who re-offend (%),37.0,31.9,28.6,25.8,*
Average number of re-offences per re-offender,2.05,*,*,*,*
Average number of re-offences per offender,0.76,*,*,*,*
Number of re-offences,41,22,20,15,14
Number of offenders in cohort,54,47,42,31,27
