"Table 2: Early estimates of proven re-offending rates for Prolific and other Priority Offenders, by upper-tier local authority1: 2009-2010",,,,,
,,,,,
,Jan 2009 to Dec 2009,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010
Average number of previous offences per offender,39.5,39.0,41.8,36.9,39.1
,,,,,
Leicester,,,,,
Proportion of offenders who re-offend (%),33.1,31.1,32.5,32.2,31.0
Average number of re-offences per re-offender,1.93,1.74,2.27,2.00,2.08
Average number of re-offences per offender,0.64,0.54,0.74,0.64,0.64
Number of re-offences,89,66,84,76,81
Number of offenders in cohort,139,122,114,118,126
Average number of previous offences per offender,58.1,62.1,63.3,65.6,65.3
,,,,,
Leicestershire,,,,,
Proportion of offenders who re-offend (%),37.1,39.2,28.4,25.7,32.0
Average number of re-offences per re-offender,3.00,2.55,2.72,2.69,2.38
Average number of re-offences per offender,1.11,1.00,0.77,0.69,0.76
Number of re-offences,117,97,79,70,76
Number of offenders in cohort,105,97,102,101,100
Average number of previous offences per offender,57.3,54.8,60.5,59.7,52.1
,,,,,
Lewisham,,,,,
Proportion of offenders who re-offend (%),*,17.6,22.2,9.7,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,10,11,13,3,6
Number of offenders in cohort,27,34,36,31,25
Average number of previous offences per offender,*,45.8,45.9,47.9,*
,,,,,
Lincolnshire,,,,,
Proportion of offenders who re-offend (%),31.7,32.8,28.8,29.9,31.1
Average number of re-offences per re-offender,1.95,2.15,2.71,2.10,1.68
Average number of re-offences per offender,0.62,0.70,0.78,0.63,0.52
Number of re-offences,37,43,46,42,32
Number of offenders in cohort,60,61,59,67,61
Average number of previous offences per offender,68.3,69.8,67.4,61.6,63.7
,,,,,
Liverpool,,,,,
Proportion of offenders who re-offend (%),35.9,34.7,28.7,26.7,33.3
Average number of re-offences per re-offender,2.76,2.42,2.56,2.17,1.85
Average number of re-offences per offender,0.99,0.84,0.73,0.58,0.62
Number of re-offences,91,80,69,52,50
Number of offenders in cohort,92,95,94,90,81
Average number of previous offences per offender,45.4,45.5,44.6,43.4,44.6
,,,,,
Luton,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,20,19,24,14,12
Number of offenders in cohort,21,17,14,14,15
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Manchester,,,,,
Proportion of offenders who re-offend (%),25.1,24.6,26.3,31.5,28.7
Average number of re-offences per re-offender,2.48,2.82,2.76,2.26,2.10
Average number of re-offences per offender,0.62,0.69,0.72,0.71,0.60
Number of re-offences,134,127,113,104,82
Number of offenders in cohort,215,183,156,146,136
Average number of previous offences per offender,46.1,49.4,53.9,54.9,56.0
,,,,,
Medway,,,,,
Proportion of offenders who re-offend (%),44.1,46.7,45.5,50.0,39.4
Average number of re-offences per re-offender,2.67,2.93,2.80,*,*
Average number of re-offences per offender,1.18,1.37,1.27,*,*
Number of re-offences,40,41,42,28,29
Number of offenders in cohort,34,30,33,30,33
Average number of previous offences per offender,47.0,46.2,50.2,51.9,49.7
,,,,,
Merthyr Tydfil,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,14,4,9,4,5
Number of offenders in cohort,18,14,12,12,12
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Merton,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,8,15,6,4,9
Number of offenders in cohort,13,9,6,9,10
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Middlesbrough,,,,,
Proportion of offenders who re-offend (%),47.5,40.5,31.0,34.2,43.2
Average number of re-offences per re-offender,2.16,*,2.46,2.54,2.25
Average number of re-offences per offender,1.02,*,0.76,0.87,0.97
Number of re-offences,41,27,32,33,36
Number of offenders in cohort,40,37,42,38,37
Average number of previous offences per offender,64.0,69.5,70.8,71.4,61.1
,,,,,
Milton Keynes,,,,,
Proportion of offenders who re-offend (%),*,*,39.1,33.3,33.3
Average number of re-offences per re-offender,*,*,2.06,2.13,2.52
Average number of re-offences per offender,*,*,0.80,0.71,0.84
Number of re-offences,22,21,74,68,83
Number of offenders in cohort,25,25,92,96,99
Average number of previous offences per offender,*,*,48.8,48.5,50.5
,,,,,
Monmouthshire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,4,3,20,21,18
Number of offenders in cohort,7,8,10,10,9
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Neath Port Talbot,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,39,68,57,59,29
Number of offenders in cohort,21,27,25,26,18
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Newcastle-upon-Tyne,,,,,
Proportion of offenders who re-offend (%),51.9,56.5,63.6,63.8,58.9
Average number of re-offences per re-offender,3.07,2.95,2.57,3.03,3.39
Average number of re-offences per offender,1.60,1.67,1.64,1.93,2.00
Number of re-offences,83,115,108,112,112
Number of offenders in cohort,52,69,66,58,56
Average number of previous offences per offender,94.7,96.6,100.6,100.5,109.4
,,,,,
Newham,,,,,
Proportion of offenders who re-offend (%),47.7,25.6,32.4,35.7,30.0
Average number of re-offences per re-offender,2.29,*,*,*,*
Average number of re-offences per offender,1.09,*,*,*,*
Number of re-offences,48,21,17,24,21
Number of offenders in cohort,44,43,37,42,40
Average number of previous offences per offender,33.8,33.0,29.9,33.3,34.6
,,,,,
Newport,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,21,32,31,32,35
Number of offenders in cohort,22,24,21,22,18
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Norfolk,,,,,
Proportion of offenders who re-offend (%),45.7,43.1,43.5,41.5,44.4
Average number of re-offences per re-offender,2.78,3.23,2.93,3.14,2.70
Average number of re-offences per offender,1.27,1.39,1.27,1.30,1.20
Number of re-offences,89,100,79,69,54
Number of offenders in cohort,70,72,62,53,45
Average number of previous offences per offender,69.9,65.3,63.8,65.6,67.0
,,,,,
North East Lincolnshire,,,,,
Proportion of offenders who re-offend (%),35.7,43.8,44.3,51.7,52.6
Average number of re-offences per re-offender,2.65,3.21,2.67,2.16,3.00
Average number of re-offences per offender,0.95,1.41,1.18,1.12,1.58
Number of re-offences,53,90,72,67,90
Number of offenders in cohort,56,64,61,60,57
Average number of previous offences per offender,59.6,61.4,60.4,59.4,63.7
,,,,,
North Lincolnshire,,,,,
Proportion of offenders who re-offend (%),43.8,38.7,30.0,*,*
Average number of re-offences per re-offender,3.00,2.67,*,*,*
Average number of re-offences per offender,1.31,1.03,*,*,*
Number of re-offences,42,32,22,23,22
Number of offenders in cohort,32,31,30,29,25
Average number of previous offences per offender,50.2,47.6,46.1,*,*
,,,,,
North Somerset,,,,,
Proportion of offenders who re-offend (%),30.3,36.7,33.3,54.8,63.9
Average number of re-offences per re-offender,*,*,3.20,3.00,3.17
Average number of re-offences per offender,*,*,1.07,1.65,2.03
Number of re-offences,29,24,32,51,73
Number of offenders in cohort,33,30,30,31,36
Average number of previous offences per offender,65.1,66.3,73.4,70.3,82.0
,,,,,
North Tyneside,,,,,
Proportion of offenders who re-offend (%),*,*,*,51.5,*
Average number of re-offences per re-offender,*,*,*,2.76,*
Average number of re-offences per offender,*,*,*,1.42,*
Number of re-offences,48,58,50,47,48
Number of offenders in cohort,28,27,28,33,29
Average number of previous offences per offender,*,*,*,74.1,*
,,,,,
North Yorkshire,,,,,
Proportion of offenders who re-offend (%),50.0,42.9,49.2,50.9,52.9
Average number of re-offences per re-offender,2.75,3.10,2.40,2.74,2.33
Average number of re-offences per offender,1.38,1.33,1.18,1.40,1.24
Number of re-offences,88,93,72,74,63
Number of offenders in cohort,64,70,61,53,51
Average number of previous offences per offender,55.9,54.0,57.4,59.7,60.3
,,,,,
Northamptonshire,,,,,
Proportion of offenders who re-offend (%),34.5,33.1,31.9,38.7,37.2
Average number of re-offences per re-offender,2.30,2.79,2.63,2.12,2.33
Average number of re-offences per offender,0.79,0.92,0.84,0.82,0.87
Number of re-offences,140,145,121,123,126
Number of offenders in cohort,177,157,144,150,145
Average number of previous offences per offender,59.2,58.8,55.5,56.4,58.9
,,,,,
Northumberland,,,,,
Proportion of offenders who re-offend (%),*,50.0,57.1,54.5,59.4
Average number of re-offences per re-offender,*,2.44,3.05,2.78,1.58
Average number of re-offences per offender,*,1.22,1.74,1.52,0.94
Number of re-offences,31,44,61,50,30
Number of offenders in cohort,19,36,35,33,32
Average number of previous offences per offender,*,72.2,74.4,78.6,75.7
,,,,,
Nottingham,,,,,
Proportion of offenders who re-offend (%),25.8,26.4,23.4,28.2,35.2
Average number of re-offences per re-offender,2.35,2.91,2.14,2.29,2.41
Average number of re-offences per offender,0.61,0.77,0.50,0.65,0.85
Number of re-offences,94,99,62,71,89
Number of offenders in cohort,155,129,124,110,105
Average number of previous offences per offender,47.6,47.7,49.6,51.5,53.8
,,,,,
Nottinghamshire,,,,,
Proportion of offenders who re-offend (%),33.3,33.6,35.2,34.8,33.7
Average number of re-offences per re-offender,2.51,2.55,2.47,2.59,2.59
Average number of re-offences per offender,0.84,0.85,0.87,0.90,0.87
Number of re-offences,108,112,94,83,75
Number of offenders in cohort,129,131,108,92,86
Average number of previous offences per offender,54.4,55.2,54.2,54.0,52.1
,,,,,
Oldham,,,,,
Proportion of offenders who re-offend (%),40.0,41.9,34.1,35.9,39.5
Average number of re-offences per re-offender,2.72,2.11,2.50,2.21,2.73
Average number of re-offences per offender,1.09,0.88,0.85,0.79,1.08
Number of re-offences,49,38,35,31,41
Number of offenders in cohort,45,43,41,39,38
Average number of previous offences per offender,70.0,81.0,77.8,88.3,76.0
,,,,,
Oxfordshire,,,,,
Proportion of offenders who re-offend (%),50.6,48.2,44.3,40.2,45.9
Average number of re-offences per re-offender,2.25,2.49,2.14,2.39,2.51
Average number of re-offences per offender,1.14,1.20,0.95,0.96,1.15
Number of re-offences,99,102,75,79,113
Number of offenders in cohort,87,85,79,82,98
Average number of previous offences per offender,46.6,49.7,45.6,45.0,46.9
,,,,,
Pembrokeshire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,38,37,45,26,30
Number of offenders in cohort,18,19,20,21,22
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Peterborough,,,,,
Proportion of offenders who re-offend (%),47.3,38.5,51.3,45.9,48.6
Average number of re-offences per re-offender,2.23,2.10,2.15,2.06,2.18
Average number of re-offences per offender,1.05,0.81,1.10,0.95,1.06
Number of re-offences,58,42,43,35,37
Number of offenders in cohort,55,52,39,37,35
Average number of previous offences per offender,54.7,55.9,59.1,61.2,63.5
,,,,,
Plymouth,,,,,
Proportion of offenders who re-offend (%),41.3,38.5,44.2,36.4,37.8
Average number of re-offences per re-offender,1.89,1.80,1.78,*,1.76
Average number of re-offences per offender,0.78,0.69,0.79,*,0.67
Number of re-offences,36,36,41,26,30
Number of offenders in cohort,46,52,52,44,45
Average number of previous offences per offender,57.8,58.3,58.9,63.5,63.0
,,,,,
Poole,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,18,13,10,7,3
Number of offenders in cohort,8,11,9,7,6
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Portsmouth,,,,,
Proportion of offenders who re-offend (%),45.2,*,40.6,*,*
Average number of re-offences per re-offender,3.14,*,3.92,*,*
Average number of re-offences per offender,1.42,*,1.59,*,*
Number of re-offences,44,34,51,31,31
Number of offenders in cohort,31,29,32,26,28
Average number of previous offences per offender,80.3,*,66.2,67.5,*
,,,,,
Powys,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,16,16,16,8,7
Number of offenders in cohort,14,13,11,12,9
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Reading,,,,,
Proportion of offenders who re-offend (%),40.6,38.9,41.9,*,51.6
Average number of re-offences per re-offender,*,2.21,2.54,*,2.75
Average number of re-offences per offender,*,0.86,1.06,*,1.42
Number of re-offences,26,31,33,20,88
Number of offenders in cohort,32,36,31,21,62
Average number of previous offences per offender,42.0,46.2,49.4,*,57.0
,,,,,
Redbridge,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,4,4,4,6,4
Number of offenders in cohort,22,20,16,20,17
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Redcar and Cleveland,,,,,
Proportion of offenders who re-offend (%),*,*,*,41.7,*
Average number of re-offences per re-offender,*,*,*,3.53,*
Average number of re-offences per offender,*,*,*,1.47,*
Number of re-offences,62,55,45,53,43
Number of offenders in cohort,29,29,29,36,26
Average number of previous offences per offender,*,*,*,59.6,*
,,,,,
Rhondda Cynon Taff,,,,,
Proportion of offenders who re-offend (%),37.0,44.9,50.0,40.9,48.8
Average number of re-offences per re-offender,2.06,2.32,2.61,2.56,2.43
Average number of re-offences per offender,0.76,1.04,1.30,1.05,1.19
Number of re-offences,35,51,60,46,51
Number of offenders in cohort,46,49,46,44,43
Average number of previous offences per offender,73.5,71.9,71.3,69.8,75.0
,,,,,
Richmond upon Thames,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,17,8,3,5,1
Number of offenders in cohort,16,13,10,7,9
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Rochdale,,,,,
Proportion of offenders who re-offend (%),33.3,26.2,26.2,22.0,26.7
Average number of re-offences per re-offender,3.08,*,*,*,*
Average number of re-offences per offender,1.03,*,*,*,*
Number of re-offences,40,21,27,12,28
Number of offenders in cohort,39,42,42,41,45
Average number of previous offences per offender,65.1,65.1,63.0,68.0,70.3
,,,,,
Rotherham,,,,,
Proportion of offenders who re-offend (%),40.0,30.0,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,28,19,21,19,18
Number of offenders in cohort,30,30,24,25,21
Average number of previous offences per offender,69.3,65.5,*,*,*
,,,,,
Rutland,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,0,1,1,1,2
Number of offenders in cohort,0,2,2,2,1
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Salford,,,,,
Proportion of offenders who re-offend (%),28.2,37.1,33.3,32.3,58.6
Average number of re-offences per re-offender,3.00,2.69,*,*,2.18
Average number of re-offences per offender,0.85,1.00,*,*,1.28
Number of re-offences,33,35,29,19,37
Number of offenders in cohort,39,35,36,31,29
Average number of previous offences per offender,64.0,63.1,63.2,58.3,59.2
,,,,,
Sandwell,,,,,
Proportion of offenders who re-offend (%),35.9,38.5,41.4,36.8,42.0
Average number of re-offences per re-offender,2.22,1.72,1.96,2.19,2.10
Average number of re-offences per offender,0.80,0.66,0.81,0.81,0.88
Number of re-offences,51,43,47,46,44
Number of offenders in cohort,64,65,58,57,50
Average number of previous offences per offender,41.5,43.0,40.4,43.2,44.9
,,,,,
Sefton,,,,,
Proportion of offenders who re-offend (%),31.8,27.3,29.5,22.0,31.4
Average number of re-offences per re-offender,3.36,*,*,*,*
Average number of re-offences per offender,1.07,*,*,*,*
Number of re-offences,47,25,27,20,27
Number of offenders in cohort,44,44,44,41,51
Average number of previous offences per offender,55.3,56.5,56.6,52.1,52.7
,,,,,
Sheffield,,,,,
Proportion of offenders who re-offend (%),24.4,25.0,33.3,37.5,29.4
Average number of re-offences per re-offender,2.95,2.56,2.55,2.25,1.95
Average number of re-offences per offender,0.72,0.64,0.85,0.84,0.57
Number of re-offences,59,46,56,54,39
Number of offenders in cohort,82,72,66,64,68
Average number of previous offences per offender,56.4,59.5,56.8,57.9,62.4
,,,,,
Shropshire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,25,13,18,23,14
Number of offenders in cohort,17,13,16,17,18
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Slough,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,43.3
Average number of re-offences per re-offender,*,*,*,*,2.92
Average number of re-offences per offender,*,*,*,*,1.27
Number of re-offences,7,14,1,7,38
Number of offenders in cohort,20,19,19,18,30
Average number of previous offences per offender,*,*,*,*,48.5
,,,,,
Solihull,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,13,14,5,9,11
Number of offenders in cohort,18,18,16,14,16
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Somerset,,,,,
Proportion of offenders who re-offend (%),*,*,*,48.4,48.4
Average number of re-offences per re-offender,*,*,*,3.13,3.27
Average number of re-offences per offender,*,*,*,1.52,1.58
Number of re-offences,16,28,36,47,49
Number of offenders in cohort,24,26,28,31,31
Average number of previous offences per offender,*,*,*,75.7,72.4
,,,,,
South Gloucestershire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,9,18,14,11,11
Number of offenders in cohort,18,20,20,20,14
Average number of previous offences per offender,*,*,*,*,*
,,,,,
South Tyneside,,,,,
Proportion of offenders who re-offend (%),43.3,47.1,51.4,54.1,36.4
Average number of re-offences per re-offender,2.92,2.44,2.37,2.30,3.50
Average number of re-offences per offender,1.27,1.15,1.22,1.24,1.27
Number of re-offences,38,39,45,46,42
Number of offenders in cohort,30,34,37,37,33
Average number of previous offences per offender,63.1,64.2,63.2,65.4,51.9
,,,,,
Southampton,,,,,
Proportion of offenders who re-offend (%),*,43.3,*,*,*
Average number of re-offences per re-offender,*,2.46,*,*,*
Average number of re-offences per offender,*,1.07,*,*,*
Number of re-offences,34,32,25,34,25
Number of offenders in cohort,27,30,27,27,23
Average number of previous offences per offender,*,64.5,*,*,*
,,,,,
Southend-on-Sea,,,,,
Proportion of offenders who re-offend (%),57.6,45.5,*,*,*
Average number of re-offences per re-offender,2.68,2.13,*,*,*
Average number of re-offences per offender,1.55,0.97,*,*,*
Number of re-offences,51,32,25,25,24
Number of offenders in cohort,33,33,27,27,27
Average number of previous offences per offender,51.5,51.7,*,*,*
,,,,,
Southwark,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,20,16,19,15,10
Number of offenders in cohort,27,27,25,21,21
Average number of previous offences per offender,*,*,*,*,*
,,,,,
St Helens,,,,,
Proportion of offenders who re-offend (%),32.4,35.1,31.3,33.3,46.7
Average number of re-offences per re-offender,*,2.69,*,*,2.29
Average number of re-offences per offender,*,0.95,*,*,1.07
Number of re-offences,24,35,19,20,32
Number of offenders in cohort,37,37,32,30,30
Average number of previous offences per offender,69.2,70.2,67.7,59.3,64.9
,,,,,
Staffordshire,,,,,
Proportion of offenders who re-offend (%),26.5,28.8,35.7,31.2,45.6
Average number of re-offences per re-offender,2.67,2.81,2.68,2.21,2.26
Average number of re-offences per offender,0.71,0.81,0.96,0.69,1.03
Number of re-offences,96,101,110,75,129
Number of offenders in cohort,136,125,115,109,125
Average number of previous offences per offender,58.3,59.8,62.5,61.4,60.2
,,,,,
Stockport,,,,,
Proportion of offenders who re-offend (%),27.5,26.5,28.1,20.0,*
Average number of re-offences per re-offender,2.73,*,*,*,*
Average number of re-offences per offender,0.75,*,*,*,*
Number of re-offences,30,20,22,14,16
Number of offenders in cohort,40,34,32,30,24
Average number of previous offences per offender,60.6,65.8,68.2,68.7,*
,,,,,
Stockton-on-Tees,,,,,
Proportion of offenders who re-offend (%),*,42.5,50.0,*,*
Average number of re-offences per re-offender,*,2.35,2.53,*,*
Average number of re-offences per offender,*,1.00,1.26,*,*
Number of re-offences,26,40,43,32,35
Number of offenders in cohort,29,40,34,25,24
Average number of previous offences per offender,*,71.9,72.6,*,*
,,,,,
Stoke-on-Trent,,,,,
Proportion of offenders who re-offend (%),27.9,36.4,35.6,42.6,37.8
Average number of re-offences per re-offender,2.75,2.31,2.25,2.70,2.65
Average number of re-offences per offender,0.77,0.84,0.80,1.15,1.00
Number of re-offences,33,37,36,54,45
Number of offenders in cohort,43,44,45,47,45
Average number of previous offences per offender,56.0,56.2,60.9,62.1,65.0
,,,,,
Suffolk,,,,,
Proportion of offenders who re-offend (%),48.3,45.5,46.3,39.7,50.0
Average number of re-offences per re-offender,2.94,2.78,2.92,2.88,2.86
Average number of re-offences per offender,1.42,1.27,1.35,1.14,1.43
Number of re-offences,212,181,184,138,160
Number of offenders in cohort,149,143,136,121,112
Average number of previous offences per offender,49.5,54.0,53.3,53.7,49.6
,,,,,
Sunderland,,,,,
Proportion of offenders who re-offend (%),63.9,46.7,45.5,43.6,46.3
Average number of re-offences per re-offender,2.57,2.57,2.75,3.29,1.95
Average number of re-offences per offender,1.64,1.20,1.25,1.44,0.90
Number of re-offences,59,54,55,56,37
Number of offenders in cohort,36,45,44,39,41
Average number of previous offences per offender,103.0,101.0,107.6,106.8,101.1
,,,,,
Surrey,,,,,
Proportion of offenders who re-offend (%),37.9,37.5,43.2,43.8,40.0
Average number of re-offences per re-offender,2.18,2.77,2.53,2.44,2.50
Average number of re-offences per offender,0.83,1.04,1.09,1.07,1.00
Number of re-offences,72,83,81,78,70
Number of offenders in cohort,87,80,74,73,70
Average number of previous offences per offender,50.2,49.2,49.6,54.0,54.6
,,,,,
Sutton,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,8,13,15,17,22
Number of offenders in cohort,17,15,15,18,18
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Swansea,,,,,
Proportion of offenders who re-offend (%),25.0,40.5,41.0,43.6,50.0
Average number of re-offences per re-offender,4.00,3.24,2.75,2.94,2.89
Average number of re-offences per offender,1.00,1.31,1.13,1.28,1.45
Number of re-offences,32,55,44,50,55
Number of offenders in cohort,32,42,39,39,38
Average number of previous offences per offender,70.1,69.9,66.2,67.9,69.8
,,,,,
Swindon,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,25,26,31,25,36
Number of offenders in cohort,24,24,22,23,25
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Tameside,,,,,
Proportion of offenders who re-offend (%),23.1,28.3,31.7,38.7,25.0
Average number of re-offences per re-offender,4.83,2.85,3.38,3.50,3.67
Average number of re-offences per offender,1.12,0.80,1.07,1.35,0.92
Number of re-offences,58,37,44,42,33
Number of offenders in cohort,52,46,41,31,36
Average number of previous offences per offender,63.3,57.9,63.1,67.0,66.4
,,,,,
Telford and Wrekin,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,12,15,5,6,22
Number of offenders in cohort,12,15,5,6,22
Average number of previous offences per offender,*,*,*,*,*
,,,,,
The Vale of Glamorgan,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,63.3
Average number of re-offences per re-offender,*,*,*,*,2.42
Average number of re-offences per offender,*,*,*,*,1.53
Number of re-offences,20,24,22,25,46
Number of offenders in cohort,19,25,25,27,30
Average number of previous offences per offender,*,*,*,*,86.4
,,,,,
Thurrock,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,21,33,36,26,27
Number of offenders in cohort,21,25,21,24,23
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Torbay,,,,,
Proportion of offenders who re-offend (%),*,33.3,*,*,*
Average number of re-offences per re-offender,*,3.10,*,*,*
Average number of re-offences per offender,*,1.03,*,*,*
Number of re-offences,12,31,23,25,30
Number of offenders in cohort,28,30,25,29,29
Average number of previous offences per offender,*,65.3,*,*,*
,,,,,
Torfaen,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,16,11,19,10,9
Number of offenders in cohort,14,13,12,10,7
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Tower Hamlets,,,,,
Proportion of offenders who re-offend (%),*,50.0,41.2,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,22,27,25,26,27
Number of offenders in cohort,29,32,34,28,29
Average number of previous offences per offender,*,38.7,42.8,*,*
,,,,,
Trafford,,,,,
Proportion of offenders who re-offend (%),27.8,25.0,20.6,25.0,30.8
Average number of re-offences per re-offender,*,*,*,*,3.83
Average number of re-offences per offender,*,*,*,*,1.18
Number of re-offences,25,17,16,19,46
Number of offenders in cohort,36,36,34,32,39
Average number of previous offences per offender,49.7,45.2,45.9,47.3,48.8
,,,,,
Wakefield,,,,,
Proportion of offenders who re-offend (%),44.3,32.1,48.2,49.1,57.7
Average number of re-offences per re-offender,3.00,2.94,2.26,2.23,2.17
Average number of re-offences per offender,1.33,0.94,1.09,1.09,1.25
Number of re-offences,81,50,61,58,65
Number of offenders in cohort,61,53,56,53,52
Average number of previous offences per offender,55.4,54.3,55.5,56.5,60.2
,,,,,
Walsall,,,,,
Proportion of offenders who re-offend (%),37.9,40.0,42.9,38.0,31.8
Average number of re-offences per re-offender,1.82,2.73,2.48,1.95,2.50
Average number of re-offences per offender,0.69,1.09,1.06,0.74,0.80
Number of re-offences,40,60,52,37,35
Number of offenders in cohort,58,55,49,50,44
Average number of previous offences per offender,67.6,71.9,69.4,68.1,67.2
,,,,,
Waltham Forest,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,13,14,10,12,11
Number of offenders in cohort,19,22,26,22,21
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Wandsworth,,,,,
Proportion of offenders who re-offend (%),*,25.8,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,7,14,9,12,12
Number of offenders in cohort,26,31,27,26,26
Average number of previous offences per offender,*,49.2,*,*,*
,,,,,
Warrington,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,15,24,23,25,23
Number of offenders in cohort,21,23,21,21,16
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Warwickshire,,,,,
Proportion of offenders who re-offend (%),50.0,51.5,43.8,36.5,43.9
Average number of re-offences per re-offender,2.70,2.88,3.29,2.96,2.86
